<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.20	09:00:00	1.22402	1.22532	1.22293	1.22360	6750	0	0
2022.06.20	10:00:00	1.22360	1.22467	1.22179	1.22257	7745	0	0
2022.06.20	11:00:00	1.22262	1.22476	1.22243	1.22462	6247	0	0
2022.06.20	12:00:00	1.22463	1.22624	1.22411	1.22460	5382	0	0
2022.06.20	13:00:00	1.22461	1.22597	1.22334	1.22497	4396	0	0
2022.06.20	14:00:00	1.22499	1.22803	1.22436	1.22623	4824	0	0
2022.06.20	15:00:00	1.22621	1.22708	1.22545	1.22625	4727	0	0
2022.06.20	16:00:00	1.22625	1.22625	1.22257	1.22323	5833	0	0
2022.06.20	17:00:00	1.22322	1.22586	1.22271	1.22533	5364	0	0
2022.06.20	18:00:00	1.22534	1.22560	1.22438	1.22497	4133	0	0
2022.06.20	19:00:00	1.22502	1.22564	1.22384	1.22543	2777	0	0
2022.06.20	20:00:00	1.22544	1.22550	1.22342	1.22344	956	0	0
2022.06.20	21:00:00	1.22343	1.22401	1.22310	1.22388	1292	0	0
2022.06.20	22:00:00	1.22389	1.22594	1.22388	1.22584	826	0	0
2022.06.20	23:00:00	1.22584	1.22585	1.22451	1.22476	827	0	2
2022.06.21	00:00:00	1.22503	1.22512	1.22360	1.22480	332	0	12
2022.06.21	01:00:00	1.22482	1.22549	1.22416	1.22545	1135	0	0
2022.06.21	02:00:00	1.22555	1.22591	1.22463	1.22483	2136	0	0
2022.06.21	03:00:00	1.22481	1.22715	1.22473	1.22697	5087	0	0
2022.06.21	04:00:00	1.22696	1.22834	1.22620	1.22663	5144	0	0
2022.06.21	05:00:00	1.22665	1.22757	1.22662	1.22741	3178	0	0
2022.06.21	06:00:00	1.22740	1.22806	1.22678	1.22795	3464	0	0
2022.06.21	07:00:00	1.22794	1.22811	1.22643	1.22648	2330	0	0
2022.06.21	08:00:00	1.22649	1.22723	1.22550	1.22610	3040	0	0
2022.06.21	09:00:00	1.22610	1.22791	1.22448	1.22769	5013	0	0
2022.06.21	10:00:00	1.22769	1.23085	1.22743	1.22971	6990	0	0
2022.06.21	11:00:00	1.22969	1.23239	1.22874	1.23091	6044	0	0
2022.06.21	12:00:00	1.23091	1.23180	1.22940	1.22961	4345	0	0
2022.06.21	13:00:00	1.22962	1.23011	1.22785	1.22808	5155	0	0
2022.06.21	14:00:00	1.22808	1.22869	1.22511	1.22690	6137	0	0
2022.06.21	15:00:00	1.22690	1.22818	1.22601	1.22665	6365	0	0
2022.06.21	16:00:00	1.22666	1.22945	1.22658	1.22859	7234	0	0
2022.06.21	17:00:00	1.22859	1.22877	1.22482	1.22828	7258	0	0
2022.06.21	18:00:00	1.22826	1.22848	1.22660	1.22762	5682	0	0
2022.06.21	19:00:00	1.22759	1.22777	1.22577	1.22717	4323	0	0
2022.06.21	20:00:00	1.22718	1.22787	1.22642	1.22746	3538	0	0
2022.06.21	21:00:00	1.22744	1.22766	1.22614	1.22760	4202	0	0
