<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.18	00:00:00	1.30727	1.30757	1.30698	1.30742	189	0	1
2023.07.18	01:00:00	1.30725	1.30772	1.30708	1.30760	799	0	0
2023.07.18	02:00:00	1.30760	1.30763	1.30703	1.30716	1096	0	0
2023.07.18	03:00:00	1.30718	1.30826	1.30678	1.30783	2185	0	0
2023.07.18	04:00:00	1.30782	1.30947	1.30741	1.30818	4107	0	0
2023.07.18	05:00:00	1.30817	1.30892	1.30798	1.30887	1944	0	0
2023.07.18	06:00:00	1.30886	1.30958	1.30837	1.30946	2639	0	0
2023.07.18	07:00:00	1.30945	1.31000	1.30934	1.30946	1519	0	0
2023.07.18	08:00:00	1.30946	1.31036	1.30880	1.30890	2263	0	0
2023.07.18	09:00:00	1.30892	1.30947	1.30719	1.30891	2901	0	0
2023.07.18	10:00:00	1.30890	1.31068	1.30832	1.30894	4056	0	0
2023.07.18	11:00:00	1.30897	1.30918	1.30726	1.30787	4212	0	0
2023.07.18	12:00:00	1.30788	1.31046	1.30788	1.31017	2961	0	0
2023.07.18	13:00:00	1.31018	1.31256	1.31016	1.31242	2811	0	0
2023.07.18	14:00:00	1.31246	1.31250	1.30930	1.31063	3029	0	0
2023.07.18	15:00:00	1.31064	1.31217	1.30723	1.30888	6166	0	0
2023.07.18	16:00:00	1.30890	1.30967	1.30631	1.30748	6118	0	0
2023.07.18	17:00:00	1.30752	1.30987	1.30732	1.30824	5391	0	0
2023.07.18	18:00:00	1.30824	1.30898	1.30503	1.30516	3955	0	0
2023.07.18	19:00:00	1.30518	1.30526	1.30280	1.30347	2405	0	0
2023.07.18	20:00:00	1.30347	1.30400	1.30298	1.30394	1892	0	0
2023.07.18	21:00:00	1.30394	1.30496	1.30357	1.30464	1901	0	0
2023.07.18	22:00:00	1.30464	1.30474	1.30377	1.30410	2073	0	0
2023.07.18	23:00:00	1.30409	1.30416	1.30343	1.30345	1292	0	0
2023.07.19	00:00:00	1.30353	1.30387	1.30310	1.30337	305	0	1
2023.07.19	01:00:00	1.30337	1.30410	1.30337	1.30405	879	0	0
2023.07.19	02:00:00	1.30405	1.30406	1.30302	1.30335	1449	0	0
2023.07.19	03:00:00	1.30338	1.30389	1.30310	1.30360	1954	0	0
2023.07.19	04:00:00	1.30362	1.30387	1.30251	1.30292	2721	0	0
2023.07.19	05:00:00	1.30293	1.30295	1.30127	1.30186	2431	0	0
2023.07.19	06:00:00	1.30185	1.30248	1.30165	1.30225	1847	0	0
2023.07.19	07:00:00	1.30225	1.30233	1.30135	1.30164	2075	0	0
2023.07.19	08:00:00	1.30164	1.30297	1.30143	1.30280	2407	0	0
